"store","websites","attribute_set","type","sku","age","gender","size","dimension","visibility","featured","status","store_id","product_type_id"
"admin","base","Default","simple","142-BBROO","6個月以上","男,女",,"約22.86 x 17.78 x 7.62cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN01-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN03-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BIN04-3SP",,"男,女",,"高約44 cm / 直徑約43 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","WALL2-3SP",,"男,女",,"全長102 x 36 cm / 收納格 29 x 36 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","WALL1-3SP",,"男,女",,"全長102 x 36 cm / 收納格 29 x 36 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","WALL3-3SP",,"男,女",,"全長102 x 36 cm / 收納格 29 x 36 cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","MOB1-3SP",,"男,女",,"寬27cm/高70cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","MOB2-3SP",,"男,女",,"寬27cm/高70cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","MOB3-3SP",,"男,女",,"寬27cm/高70cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","HAMP1-3SP",,"男,女",,"高48cm x 寬56cm x深28cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","HAMP2-3SP",,"男,女",,"高48cm x 寬56cm x深28cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","HAMP3-3SP",,"男,女",,"高48cm x 寬56cm x深28cm","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BATH1-3SP",,"男,女",,"約37cm x 38cm ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BATH3-3SP",,"男,女",,"約37cm x 38cm ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BATH2-3SP",,"男,女",,"約37cm x 38cm ","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SF2151M-H2H","3-4歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SP21512M-H2H","3-4歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SB2151AM-H2H","3-4歲","女",,"長度約50公分/寬約45到50公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SC2151AS-H2H","1-2歲","女",,"總長（肩到底部） 63.5公分/內裡長度（肩到底部）約43公分/胸圍約50-60公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SC2154S-H2H","1-2歲","女",,"總長（肩到底部）約 63.5公分/內裡長度（肩到底部）約43公分/胸圍約50-60公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SC2156S-H2H","1-2歲","女",,"總長（肩到底部）約63.5公分/內裡長度（肩到底部）約43公分/胸圍約50-60公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SC2154M-H2H","3-4歲","女",,"總長（肩到底部）約 71公分/內裡長度（肩到底部）約50公分/胸圍約55-66公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SE2152S-H2H","1-2歲","女","腰帶可調整，最寬可至51公分","長度: 30.5cm/寬度: 45.5cm Adjustable/腰帶長度約51公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SE2154S-H2H","1-2歲","女","腰帶可調整，最寬可至51公分","長度: 30.5cm/寬度: 45.5cm Adjustable/腰帶長度約51公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","SE2156S-H2H","1-2歲","女","腰帶可調整，最寬可至51公分","長度30.5公分/寬度約45公分/腰帶長度約51公分","Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2151AS-H2H","0-18個月","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2154S-H2H","0-18個月","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2156S-H2H","0-18個月","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2150S-H2H","0-18個月","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2151AL-H2H","1.5歲-12歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2154L-H2H","1.5歲-12歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
"admin","base","Default","simple","BW2156L-H2H","1.5歲-12歲","女",,,"Catalog, Search","No","Enabled",0,"simple"
