"sku","age","gender","size","dimension"
"HudsonStripe-MLS","6個月到16公斤","男,女",,"約20 x 4 x 15 cm"
"Minky.BB-ISSMA","8歲以下","男,女",,"Hooded Towel X 1 -38"" X 38""(約97 X 97cm)/ Washcloth X 1- 8”x 8”(約20 X 20 cm)"
"Minky.BP-ISSMA","8歲以下","男,女",,"Hooded Towel X 1 -38"" X 38""(約97 X 97cm)/ Washcloth X 1- 8”x 8”(約20 X 20 cm)"
"Minky.CB-ISSMA","8歲以下","男,女",,"Hooded Towel X 1 -38"" X 38""(約97 X 97cm)/ Washcloth X 1- 8”x 8”(約20 X 20 cm)"
"Minky.CP-ISSMA","8歲以下","男,女",,"Hooded Towel X 1 -38"" X 38""(約97 X 97cm)/ Washcloth X 1- 8”x 8”(約20 X 20 cm)"
"ZF.LPK-ISSMA","8歲以下","男,女",,"Hooded Towel X 1 -38"" X 38""(約97 X 97cm)/ Washcloth X 1- 8”x 8”(約20 X 20 cm)"
"ZF.BLCW-ISSMA","8歲以下","男,女",,"Hooded Towel X 1 -38"" X 38""(約97 X 97cm)/ Washcloth X 1- 8”x 8”(約20 X 20 cm)"
"ZF.ZBR-ISSMA","8歲以下","男,女",,"Hooded Towel X 1 -38"" X 38""(約97 X 97cm)/ Washcloth X 1- 8”x 8”(約20 X 20 cm)"
"ZF.GRF-ISSMA","8歲以下","男,女",,"Hooded Towel X 1 -38"" X 38""(約97 X 97cm)/ Washcloth X 1- 8”x 8”(約20 X 20 cm)"
"Airplane-ISSMA","8歲以下","男,女",,"Hooded Towel X-1, 97cm X 97cm/Washcloth X -1, 20 X 20 cm"
"Buttrfly-ISSMA","8歲以下","男,女",,"Hooded Towel X-1, 97cm X 97cm/Washcloth X -1, 20 X 20 cm"
"LemonHrt-ISSMA","8歲以下","男,女",,"Hooded Towel X-1, 97cm X 97cm/Washcloth X -1, 20 X 20 cm"
"UrbanZoo-ISSMA","8歲以下","男,女",,"Hooded Towel X-1, 97cm X 97cm/Washcloth X -1, 20 X 20 cm"
"Monkeys-ISSMA","8歲以下","男,女",,"Hooded Towel X-1, 97cm X 97cm/Washcloth X -1, 20 X 20 cm"
"1127B-MAGBB","0-3個月","男","0-3個月",
"1128G-MAGBB","0-3個月","女","0-3個月",
"1422G-3M-MAGBB","3-6個月","女","3-6個月",
"1423B-3M-MAGBB","3-6個月","男","3-6個月",
"1520G-NB-MAGBB","0-3個月","女","0-3個月",
"1521B-NB-MAGBB","0-3個月","男","0-3個月",
"1524G-6M-MAGBB","6-9個月","女","6-9個月",
"1525B-6M-MAGBB","6-9個月","男","6-9個月",
"1526G-3M-MAGBB","3-6個月","女","3-6個月",
"1526G-6M-MAGBB","6-9個月","女","6-9個月",
"1526G-9M-MAGBB","9-12個月","女","9-12個月",
"1527B-3M-MAGBB","3-6個月","男","3-6個月",
"1527B-6M-MAGBB","6-9個月","男","6-9個月",
"1527B-9M-MAGBB","9-12個月","男","9-12個月",
"1528G-6M-MAGBB","6-9個月","女","6-9個月",
"1528G-9M-MAGBB","9-12個月","女","9-12個月",
"1529B-6M-MAGBB","6-9個月","男","6-9個月",
"1529B-9M-MAGBB","9-12個月","男","9-12個月",
"1730G-9M-MAGBB","9-12個月","女","9-12個月",
"1731B-9M-MAGBB","9-12個月","男","9-12個月",
"1820G-3M-MAGBB","3-6個月","女","3-6個月",
"1820G-6M-MAGBB","6-9個月","女","6-9個月",
"1820G-9M-MAGBB","9-12個月","女","9-12個月",
"1821B-3M-MAGBB","3-6個月","男","3-6個月",
"1821B-6M-MAGBB","6-9個月","男","6-9個月",
"1821B-9M-MAGBB","9-12個月","男","9-12個月",
"TYPZSS-PK","２歲以上","男,女",,"26.67 cm x 26.67 cm/0.45kg"
"FFKIKO-PK","1歲以上","男,女",,"40.64 cm X 28 cm X 38.1cm / 1.8公斤"
"FFLILA-PK","1歲以上","男,女",,"40.64 cm X 28 cm X 38.1cm / 1.8公斤"
"KBCHO003-KBOOST","耐重達136公斤","男,女",,"<li>適用於對角距離49.5cm到76.2cm的四腳座椅</li>
<li>2階段高度可選擇9.5cm/11.4cm</li>
<li>收合後增高架大小約16.5cm x 30cm</li>
<li>重量約1.5公斤</li>"
"KBGRE000-KBOOST","耐重達136公斤","男,女",,"<li>適用於對角距離49.5cm到76.2cm的四腳座椅</li>
<li>2階段高度可選擇9.5cm/11.4cm</li>
<li>收合後增高架大小約16.5cm x 30cm</li>
<li>重量約1.5公斤</li>"
"KBNAT001-KBOOST","耐重達136公斤","男,女",,"<li>適用於對角距離49.5cm到76.2cm的四腳座椅</li>
<li>2階段高度可選擇9.5cm/11.4cm</li>
<li>收合後增高架大小約16.5cm x 30cm</li>
<li>重量約1.5公斤</li>"
"CHTSLS3BL-LTGF","0-6個月","男,女","0-6個月","約39x 62公分"
"CHTSLS3CR-LTGF","0-6個月","男,女","0-6個月","約39x 62公分"
"CHTSLS3PK-LTGF","0-6個月","男,女","0-6個月","約39x 62公分"
"MSNDSLS3BL-LTGF","3-6個月","男,女","3-6個月","約39x 62公分"
"MSNDSLS3CE-LTGF","3-6個月","男,女","3-6個月","約39x 62公分"
"MSNDSLS3PK-LTGF","3-6個月","男,女","3-6個月","約39x 62公分"
"MSLNDSK3BL-LTGF","3-6個月","男,女","3-6個月","約39x 62公分"
