"store","sku","qty","is_in_stock"
"admin","1442-6M-TOMAT",5.0000,"1 "
"admin","1455-LEARN",8.0000,"1 "
"admin","14BRS-EDGEPUB",4.0000,"1 "
"admin","1520G-NB-MAGBB",2.0000,"1 "
"admin","1526G-3M-MAGBB",3.0000,"1 "
"admin","1526G-9M-MAGBB",3.0000,"1 "
"admin","1527B-6M-MAGBB",2.0000,"1 "
"admin","153-BBROO",4.0000,"1 "
"admin","170-BBROO",11.0000,"1 "
"admin","174-BBROO",2.0000,"1 "
"admin","1820G-3M-MAGBB",2.0000,"1 "
"admin","1820G-6M-MAGBB",1.0000,"1 "
"admin","1820G-9M-MAGBB",1.0000,"1 "
"admin","1821B-3M-MAGBB",2.0000,"1 "
"admin","1821B-6M-MAGBB",2.0000,"1 "
"admin","1PCRMPR-BLUSTP-6M-UN",16.0000,"1 "
"admin","1PCRMPR-BLUSTR-9M-UN",16.0000,"1 "
"admin","21101S-UBSN",1.0000,"1 "
"admin","21104S-UBSN",3.0000,"1 "
"admin","21105S-UBSN",1.0000,"1 "
"admin","21208B-L-UBSN",5.0000,"1 "
"admin","21208B-M-UBSN",1.0000,"1 "
"admin","21208N-M-UBSN",8.0000,"1 "
"admin","21208N-S-UBSN",5.0000,"1 "
"admin","22809RDSHK9-TPC",2.0000,"1 "
"admin","22809TRQPK9-TPC",3.0000,"1 "
"admin","22BDAYLAV7-SET-TPC",5.0000,"1 "
"admin","22BDAYPK7-SET-TPC",6.0000,"1 "
"admin","22HOTPK6-TPC",4.0000,"1 "
"admin","22HOTPK7-TPC",3.0000,"1 "
"admin","22LAV6-TPC",4.0000,"1 "
"admin","22LAV7-TPC",3.0000,"1 "
"admin","22LAV9-TPC",5.0000,"1 "
"admin","22LCEGCLNL6-TPC",5.0000,"1 "
"admin","22LCEGPRIW6-TPC",4.0000,"1 "
"admin","22PKGNM6-TPC",6.0000,"1 "
"admin","22PKNV6-TPC",7.0000,"1 "
"admin","22WHT6-TPC",2.0000,"1 "
"admin","22WHT7-TPC",3.0000,"1 "
"admin","2349-LEARN",12.0000,"1 "
"admin","2350-LEARN",13.0000,"1 "
"admin","2629-LEARN",11.0000,"1 "
"admin","2665-LEARN",7.0000,"1 "
"admin","2690-LEARN",9.0000,"1 "
"admin","26913HEARTTABLE-KK",4.0000,"1 "
"admin","2781-LEARN",4.0000,"1 "
"admin","2783-MELDOUG",1.0000,"1 "
"admin","2PCPOPLINWHT-12MO-UN",4.0000,"1 "
"admin","2PCPOPLINWHT-18M-UN",5.0000,"1 "
