"sku","amazon_avg_rating","amazon_review_count"
"WB-6M-LORALIN",,
"WB-12M-LORALIN",,
"ZN-LORALIN",,
"ZB-LORALIN",,
"HN-6M-LORALIN",,
"HN-12M-LORALIN",,
"HE-6M-LORALIN",,
"HE-12M-LORALIN",,
"OG-3M-LORALIN",,
"OG-6M-LORALIN",,
"OG-12M-LORALIN",,
"BUS-LORALIN",,
"BNS-LORALIN",,
"RB-3M-LORALIN",,
"RB-6M-LORALIN",,
"MTN-5-MTN",5,3
"MTN-1-MTN",4.6,23
"MTN-1-MTN",4.9,14
"MTN-29-MTN",5,2
"MTN-26-MTN",3.5,2
"22LAV9-TPC",,
"2289RdShk9-TPC+Wng89Red-TPC",,
"2289TrqPk9-TPC+Wng89Blue-TPC",,
"22Lav6-TPC",,
"22Lav7-TPC",,
"22Wht6-TPC",,
"22Wht7-TPC",,
"22HotPk6-TPC",,
"22HotPk7-TPC",,
"22BdayPK7-TPC+WngBdayPK-TPC",,
"22BdayLAV7-TPC+WngBdayLAV-TPC",,
"22PKNV6-TPC ",,
"22PKGNM6-TPC",,
"22LcEgClnl6-TPC",,
"22LcEgPriW6-TPC",,
"1212RB-KSTYL",,
"1212P-KSTYL",,
"1212SG-KSTYL",,
"94-KSTYL",,
"9425-KSTYL",,
"9475-KSTYL",,
"95-KSTYL",,
"946-KSTYL",,
"947-KSTYL",,
"89331-KSTYL",,
"8947-KSTYL",,
"413547-KSTYL",,
"443617-KSTYL",,
"SSFox1ZNat12mo-CLK",,
"SSFox1ZNat18mo-CLK",,
"SSOwl1ZDjn6mo-CLK",,
"SSOwl1ZDjn12mo-CLK",,
"SSBee1ZNat6mo-CLK",,
"SSBee1ZNat12mo-CLK",,
"SSPan1ZBLk12mo-CLK",4.5,2
"SSPan1ZBlk18mo-CLK",4.5,2
"SSDin1ZLmn6mo-CLK",,
"SSDin1ZLmn12mo-CLK",,
"SSBun1ZPnk6mo-CLK",,
"SSBun1ZPnk12mo-CLK",,
"SSCow1ZGrn6mo-CLK",,
"SSCow1ZGrn12mo-CLK",,
"LSBun1ZRed6mo-CLK",,
"LSBun1ZRed18mo-CLK",,
"LSSeal1ZBl12mo-CLK",,
"LSSeal1ZBl18mo-CLK",,
"LSDino1ZNav6mo-CLK",,
"LSDino1ZNav12mo-CLK",,
"LSDinoTNav2T-CLK",,
"LSDinoTNav4T-CLK",,
"LSSealTNav2T-CLK",,
"LSSealTNav4T-CLK",,
"SSCowTGrn2T-CLK",,
"SSCowTGrn4T-CLK",,
"SSPanTOrng2T-CLK",5,1
"SSPanTOrng4T-CLK",5,1
"SSOwlTDj2T-CLK",,
"SSOwlTDj4T-CLK",,
"YellowBib-CLK",,
"BlackBib-CLK",,
"PolkaBib-CLK",,
"MMGreen-MM",4.7,37
"RBWSDNB-P1-RB",,
"RBWSD3-P1-RB",,
"RBWSD6-P1-RB",,
"RBWSD12-P1-RB",,
"RBWSD18-P1-RB",,
"RBWSD2T-P1-RB",,
"RCDDB6--RB",,
"RCDDB12--RB",,
"RCDDB18--RB",,
"RCDDB2T--RB",,
"RLKBK--RB",,
"RLKBK6--RB",,
"RLKGY--RB",,
"RLKGY6--RB",,
"RCKLA12--RB",,
"RCKLA18--RB",,
"RCKLA2T--RB",,
"GJDMB18--RB",,
"GJDMB2T--RB",,
"53181PastelKitchen-KK",4.5,315
"5326EspressoKitchen-KK",4.6,223
"53173RedVintageKitchen-KK",4.6,35
"53179PinkVintageKitchen-KK",4.6,35
"65275PrettyPetalHouse-KK",4.9,16
"2121AspenTableSetWhite-KK",4.5,112
"26913HeartTable-KK",4.4,59
"14956ToyBoxEspresso-KK",4.3,16
"14951ToyBoxWht-KK",4.3,16
